c1,c2,c26,c27,c28,c29,c30,c31,c32,c33,c39,c139,c142,c143,c155,c157,c158,c160,c161,c162,c163,c7,c8,c9,c10,c11,c12,c13,c15,c16,c17,c19,c20,c21,c22,c23,c34,c35,c36,c52,c241
44252,2,490.7875903,104.4968369,43.46619353,284.6092948,14.33652323,86.21310058,48.44184674,-69.01448729,0.500035129,13.44734783,57.45782585,44.49991608,16.6,29,25,800,460,200,100,2.290970119,19.85043289,8.513445977,0.571418992,58.29202997,11.35443287,35.81173732,0,21.50464033,34.73939951,13.44734783,7.828057309,10.87352306,5.367724629,41.90896867,0.188726111,1.387436934,0.050005831,10.68283032,2.224648793
44253,2,491.219687,104.512121,42.99026073,284.8687478,14.37585362,86.39515235,48.50413336,-68.96551754,0.500135221,13.57244037,57.35592683,44.49991608,16.48,29,25,800,470,200,100,2.288835431,19.70499359,8.513750996,0.579707242,58.97611815,11.52642647,35.93616437,0.000430931,21.58256172,34.85439337,13.57244037,8.225875516,11.06505014,5.269888081,41.8771257,0.186984912,1.390422236,0.050005299,10.64407333,2.193861128
44254,2,490.9709284,104.4970278,42.71287984,284.563218,14.33559385,85.49551492,48.58393401,-68.82577191,0.499983867,13.56711699,56.78498828,44.49991608,16.55,29,24.85,800,460,200,100,2.242466472,19.23500449,8.470677624,0.569808086,58.91408683,11.52982329,35.81489372,0.000211387,21.97815487,35.20887287,13.56711699,8.399413724,11.21934498,5.390333905,41.07119473,0.187295237,1.395190851,0.050006373,10.9437498,2.176192515
44255,2,489.9603081,104.4589165,42.43164907,283.3981758,14.28067048,87.54155705,49.04859159,-68.720072,0.500244099,13.74514695,57.61524094,44.49991608,16.6,29,25.15,800,460,200,100,2.238994962,19.56185712,8.505098191,0.573136924,59.03071959,11.35581758,36.42191647,0.003164088,22.61158492,34.40421862,13.74514695,8.497314598,11.41221713,5.586067912,40.4769065,0.188157649,1.399835746,0.049994657,10.97173941,2.201789289
44256,2,489.1118792,104.5164976,42.60586352,283.134003,14.27946921,87.74218049,49.08143756,-68.71826874,0.500184275,13.35463502,57.72516505,44.49991608,16.6,24,24.7,800,420,200,100,2.242361801,19.70321237,8.559377675,0.579446239,59.08173974,11.41548057,36.20307893,0.005233228,22.46642611,33.44996377,13.35463502,7.884619773,11.26304567,5.863899179,40.46333901,0.187528494,1.396660216,0.050000534,10.89959435,2.206232325
44257,2,490.8097499,104.5071206,42.33005638,285.9616708,14.47358618,87.81230338,49.14554619,-68.97322829,0.500107562,13.19952778,57.72768586,44.49991608,16.5,29,24.5,840,450,200,100,2.251706604,20.01297091,8.673995634,0.595937216,59.62980197,11.53131098,36.36017452,0,21.73475352,32.537502,13.19952778,7.502472461,11.09225279,5.772157538,42.00561816,0.188137907,1.393212049,0.049982815,10.9303146,2.182505315
44258,2,492.4642195,104.4860168,42.26475888,286.5979297,14.39907682,86.27105507,49.08293047,-68.93999721,0.499914768,13.07964641,56.96068655,44.49991608,16.6,29,24.9,800,450,200,100,2.183265526,20.06322277,8.89708085,0.630758527,59.73249486,11.47605721,36.00911752,0,21.2082361,32.3966798,13.07964641,7.467415534,10.84740448,6.09926032,42.53785003,0.188001188,1.40158001,0.050003794,10.76192039,2.151857448
44259,2,491.3284063,104.4960967,44.26568456,284.0782431,14.26351692,81.41564731,48.64226262,-69.15114849,0.499950331,12.31354186,55.41155001,44.49991608,16.6,29,24.9,800,450,200,100,2.098713737,19.80637817,8.621232345,0.643349947,57.64575158,10.8193685,34.81643165,0,20.58169361,32.44920916,12.31354186,7.898716617,10.78881335,6.399914226,42.79095912,0.186384931,1.337724753,0.0500181,10.86454947,2.18023581
44260,2,490.9623655,104.5039937,44.57907175,283.3666462,14.26309295,81.60133136,48.74065871,-69.03331024,0.500237247,12.30279887,55.65661813,44.49991608,16.6,29,24.9,800,450,200,100,2.135830967,19.79663688,8.537314904,0.639082499,58.88799811,10.92615837,34.66978885,0.000748806,20.62315668,32.56958662,12.30279887,8.307521677,10.6228526,6.240198763,43.16326425,0.18596659,1.413671537,0.049984031,10.65916786,2.142718502
44261,2,490.5806872,104.5339903,43.25051041,284.5988738,14.31486926,86.106054,49.09855873,-68.93611358,0.500322729,13.10323829,57.254321,44.49991608,16.6,29,24.9,800,450,200,100,2.305002176,19.48536581,8.72465994,0.583408027,59.10617043,10.61131602,35.62014283,0,21.6019897,33.32310815,13.10323829,7.322942213,10.35635893,6.733102852,41.90279104,0.183906837,1.392424493,0.050010924,10.80385401,2.188545857
