Index,Entry-Date,Entry-Weekday,Entry-Time,Entry-Price,Quantity,Instrument-Kind,StrikePrice,Position,ExitDate,Exit-Weekday,ExitTime,ExitPrice,P/L,P/L-Percentage,ExpiryDate,Remarks,Highest-From-Entry-To-Exit,Lowest-From-Entry-To-Exit
17.1,23-01-2018,Tuesday,09:25:00,171.2,15,CE,27100,Sell,23-01-2018,Tuesday,12:36:00,227.2,-840,-32.71028037,25-01-2018,Stop Loss Hit,227.2,152.2
17.2,23-01-2018,Tuesday,09:25:00,183.8,15,PE,27100,Sell,23-01-2018,Tuesday,15:19:00,54,1947,70.62023939,25-01-2018,Exit Condition Met For Trade,185.55,51.85
18,24-01-2018,,09:25:00,27450.1,,,,,24-01-2018,,15:19:00,27412.45,-717.75,,,Exit Condition Met For Trade,27479.25,27219.45
18.1,24-01-2018,Wednesday,09:25:00,124.15,15,CE,27500,Sell,24-01-2018,Wednesday,15:19:00,110,212.25,11.39750302,25-01-2018,Exit Condition Met For Trade,145.5,61.5
18.2,24-01-2018,Wednesday,09:25:00,174,15,PE,27500,Sell,24-01-2018,Wednesday,09:42:00,236,-930,-35.63218391,25-01-2018,Stop Loss Hit,264.3,160.7
19,25-01-2018,,09:25:00,27333.2,,,,,25-01-2018,,13:56:00,27345.5,-195,,,,27426.65,27151.75
19.1,25-01-2018,Thursday,09:25:00,115,15,CE,27300,Sell,25-01-2018,Thursday,13:56:00,87,420,24.34782609,25-01-2018,Stop Loss Hit,145.55,11.1
19.2,25-01-2018,Thursday,09:25:00,73.6,15,PE,27300,Sell,25-01-2018,Thursday,13:31:00,114.6,-615,-55.70652174,25-01-2018,Stop Loss Hit,118,38.75
20,29-01-2018,,09:25:00,27476.55,,,,,29-01-2018,,14:31:00,27467.5,-915,,,,27652.05,27462.75
20.1,29-01-2018,Monday,09:25:00,286.9,15,CE,27500,Sell,29-01-2018,Monday,09:32:00,361.9,-1125,-26.14151272,01-02-2018,Stop Loss Hit,362.7,286.9
20.2,29-01-2018,Monday,09:25:00,371.8,15,PE,27500,Sell,29-01-2018,Monday,14:31:00,357.8,210,3.765465304,01-02-2018,Stop Loss Hit,371.8,282.15
21,30-01-2018,,09:25:00,27334.8,,,,,30-01-2018,,15:19:00,27282.25,1774.5,,,Exit Condition Met For Trade,27397.8,27242.05
21.1,30-01-2018,Tuesday,09:25:00,315.55,15,CE,27300,Sell,30-01-2018,Tuesday,15:19:00,264.45,766.5,16.19394708,01-02-2018,Exit Condition Met For Trade,364.6,253.3
21.2,30-01-2018,Tuesday,09:25:00,303.7,15,PE,27300,Sell,30-01-2018,Tuesday,15:19:00,236.5,1008,22.12709911,01-02-2018,Exit Condition Met For Trade,311,219.6
22,31-01-2018,,09:25:00,27228.9,,,,,31-01-2018,,14:39:00,27231.65,-795,,,,27327.05,27139.3
22.1,31-01-2018,Wednesday,09:25:00,252.3,15,CE,27200,Sell,31-01-2018,Wednesday,14:39:00,276.3,-360,-9.512485137,01-02-2018,Stop Loss Hit,319.05,201
22.2,31-01-2018,Wednesday,09:25:00,192.45,15,PE,27200,Sell,31-01-2018,Wednesday,13:01:00,221.45,-435,-15.06884905,01-02-2018,Stop Loss Hit,237.7,145.85
23,01-02-2018,,09:25:00,27468.4,,,,,01-02-2018,,12:14:00,27367.9,-1140,,,,27575.7,27302.25
23.1,01-02-2018,Thursday,09:25:00,193.5,15,CE,27500,Sell,01-02-2018,Thursday,11:03:00,255.5,-930,-32.04134367,01-02-2018,Stop Loss Hit,264.95,180
23.2,01-02-2018,Thursday,09:25:00,225.95,15,PE,27500,Sell,01-02-2018,Thursday,12:14:00,239.95,-210,-6.196061075,01-02-2018,Stop Loss Hit,287.5,164.05
24,02-02-2018,,09:25:00,26782.15,,,,,02-02-2018,,15:19:00,26394.65,1287.75,,,Exit Condition Met For Trade,26853.4,26390.45
24.1,02-02-2018,Friday,09:25:00,223.65,15,CE,26800,Sell,02-02-2018,Friday,15:19:00,99.8,1857.75,55.37670467,08-02-2018,Exit Condition Met For Trade,250,97.25
24.2,02-02-2018,Friday,09:25:00,247.3,15,PE,26800,Sell,02-02-2018,Friday,10:25:00,285.3,-570,-15.36595228,08-02-2018,Stop Loss Hit,291.35,210
25,05-02-2018,,09:25:00,25980.15,,,,,05-02-2018,,13:55:00,26019.95,-315,,,,26215.1,25955.75
25.1,05-02-2018,Monday,09:25:00,272.5,15,CE,26000,Sell,05-02-2018,Monday,09:43:00,338.5,-990,-24.22018349,08-02-2018,Stop Loss Hit,366.8,263.05
25.2,05-02-2018,Monday,09:25:00,250.5,15,PE,26000,Sell,05-02-2018,Monday,13:55:00,205.5,675,17.96407186,08-02-2018,Stop Loss Hit,257,130
26,06-02-2018,,09:25:00,25271.15,,,,,06-02-2018,,11:15:00,25259.5,-1035,,,,25346.55,25023.85
26.1,06-02-2018,Tuesday,09:25:00,266,15,CE,25300,Sell,06-02-2018,Tuesday,11:15:00,293,-405,-10.15037594,08-02-2018,Stop Loss Hit,311.8,217.5
26.2,06-02-2018,Tuesday,09:25:00,270,15,PE,25300,Sell,06-02-2018,Tuesday,09:44:00,312,-630,-15.55555556,08-02-2018,Stop Loss Hit,330,236.95
27,07-02-2018,,09:25:00,26029.25,,,,,07-02-2018,,15:19:00,25623.6,1595.25,,,Exit Condition Met For Trade,26034.5,25591.75
27.1,07-02-2018,Wednesday,09:25:00,213.35,15,CE,26000,Sell,07-02-2018,Wednesday,15:19:00,33,2705.25,84.5324584,08-02-2018,Exit Condition Met For Trade,214.3,30
27.2,07-02-2018,Wednesday,09:25:00,204.5,15,PE,26000,Sell,07-02-2018,Wednesday,09:42:00,278.5,-1110,-36.18581907,08-02-2018,Stop Loss Hit,285,203.45
28,08-02-2018,,09:25:00,25684.9,,,,,08-02-2018,,15:19:00,25935.1,903,,,Exit Condition Met For Trade,26126.4,25671.85
